hostname,os_family,os_version,cpu_cores,memory_gb,gpu_present,domain_joined,open_ports,running_services,software_indicators,ad_groups,privilege_level,workstation_role,confidentiality,integrity,availability,record_source,confidence,is_synthetic
wks-0001,Windows,10,8,8,False,True,[ 445 3389 8888],['EDR Agent' 'OneDrive Sync' 'VPN Client'],['Docker Desktop' 'Git' 'IntelliJ' 'Node.js' 'PyCharm' 'VS Code' 'Zoom'],['Developers' 'Domain Users'],Standard User,Developer Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.74,True
wks-0002,Windows,11,4,8,False,True,[ 139  445 3389],['EDR Agent' 'OneDrive Sync' 'Print Spooler' 'SSH'],['PowerShell' 'PuTTY' 'RSAT' 'Teams' 'VMware Workstation'],['Data Scientists' 'Retail'],Local Admin,IT Admin Workstation,High,High,Moderate,synthetic_ml_seed,0.89,True
wks-0003,Ubuntu Desktop,22.04,32,8,False,True,[ 22 631],['Print Spooler' 'SSH'],['Chrome' 'Firefox' 'KioskShell' 'Teams'],['Domain Users'],Standard User,Kiosk Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.92,True
wks-0004,Windows,10,8,8,True,True,[135],['SSH' 'VPN Client'],['AutoCAD' 'MATLAB' 'SolidWorks'],['Domain Users' 'Executives'],Standard User,Engineering CAD Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.96,True
wks-0005,macOS,14,16,32,False,False,[ 22 631],[],['Chrome' 'Firefox' 'Office' 'VS Code' 'Zoom'],['Help Desk'],Standard User,Training Lab Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.87,True
wks-0006,Windows,11,4,32,False,True,[ 135  445 3389],['Print Spooler' 'SSH'],['Firefox' 'Office' 'Teams' 'VPN Client' 'Zoom'],['IT Operations'],Local Admin,Executive Workstation,High,High,Moderate,synthetic_rules,0.76,True
wks-0007,Windows,11,4,8,True,True,[135],['Defender' 'EDR Agent' 'SSH'],['CRM Client' 'Chrome' 'Softphone' 'Teams' 'Zoom'],['IT Operations'],Local Admin,Call Center Workstation,Moderate,High,High,synthetic_hybrid,0.97,True
wks-0008,Windows,10,32,16,False,True,[ 135  445 8000],['Backup Agent' 'SSH'],['Chrome' 'Postman' 'Selenium'],['IT Operations'],Standard User,QA Test Workstation,Moderate,Moderate,Moderate,synthetic_rules,0.75,True
wks-0009,macOS,14,32,16,True,True,[ 22 631],['Defender' 'EDR Agent' 'VPN Client'],['AutoCAD' 'MATLAB' 'Office' 'SolidWorks' 'VPN Client'],['Engineering' 'QA'],Local Admin,Engineering CAD Workstation,Moderate,High,Moderate,synthetic_rules,0.76,True
wks-0010,Ubuntu Desktop,22.04,16,16,False,True,[ 22 631],['Backup Agent' 'RDP'],['Office' 'Teams' 'Workday'],['Engineering' 'SOC'],Standard User,HR Workstation,High,High,Moderate,synthetic_ml_seed,0.8,True
